timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-03 10:11:00,84,2659,1.3408976298537572,106.36
2021-03-03 10:12:00,90,2674,1.3484619263741806,106.96
2021-03-03 10:13:00,81,2678,1.3504790721129605,107.12
2021-03-03 10:14:00,89,2687,1.3550176500252145,107.48
2021-03-03 10:15:00,76,2688,1.3555219364599094,107.52
2021-03-03 10:16:00,82,2711,1.367120524457892,108.44
2021-03-03 10:17:00,79,2728,1.3756933938477056,109.12
2021-03-03 10:18:00,73,2738,1.3807362581946547,109.52
2021-03-03 10:19:00,80,2753,1.3883005547150784,110.12
2021-03-03 10:20:00,85,2778,1.400907715582451,111.12
2021-03-03 10:21:00,60,2778,1.400907715582451,111.12
2021-03-03 10:22:00,72,2782,1.4029248613212306,111.28
2021-03-03 10:23:00,76,2796,1.4099848714069594,111.84
2021-03-03 10:24:00,72,2801,1.4125063035804335,112.04
2021-03-03 10:25:00,82,2815,1.4195663136661625,112.6
2021-03-03 10:26:00,91,2837,1.4306606152294503,113.48
2021-03-03 10:27:00,62,2840,1.4321734745335353,113.6
2021-03-03 10:28:00,74,2843,1.43368633383762,113.72
2021-03-03 10:29:00,83,2852,1.438224911749874,114.08
2021-03-03 10:30:00,72,2873,1.4488149268784671,114.92
2021-03-03 10:31:00,84,2888,1.4563792233988908,115.52
2021-03-03 10:32:00,83,2905,1.464952092788704,116.2
2021-03-03 10:33:00,74,2905,1.464952092788704,116.2
2021-03-03 10:34:00,67,2919,1.4720121028744328,116.76
2021-03-03 10:35:00,83,2921,1.473020675743823,116.84
2021-03-03 10:36:00,103,2941,1.483106404437721,117.64
2021-03-03 10:37:00,75,2950,1.4876449823499749,118.0
2021-03-03 10:38:00,73,2972,1.498739283913263,118.88
2021-03-03 10:39:00,85,2987,1.5063035804336864,119.48
2021-03-03 10:40:00,83,2999,1.5123550176500251,119.96
2021-03-03 10:41:00,68,3004,1.5148764498235,120.16
2021-03-03 10:42:00,91,3024,1.524962178517398,120.96
2021-03-03 10:43:00,92,3029,1.5274836106908725,121.16
2021-03-03 10:44:00,95,3030,1.5279878971255674,121.2
2021-03-03 10:45:00,64,3036,1.5310136157337368,121.44
2021-03-03 10:46:00,72,3038,1.5320221886031269,121.52
2021-03-03 10:47:00,86,3044,1.535047907211296,121.76
2021-03-03 10:48:00,93,3069,1.547655068078669,122.76
2021-03-03 10:49:00,92,3071,1.5486636409480588,122.84
2021-03-03 10:50:00,83,3077,1.551689359556228,123.08
2021-03-03 10:51:00,86,3102,1.5642965204236008,124.08
2021-03-03 10:52:00,93,3125,1.5758951084215835,125.0
2021-03-03 10:53:00,61,3147,1.5869894099848716,125.88
2021-03-03 10:54:00,86,3154,1.590519415027736,126.16
2021-03-03 10:55:00,102,3170,1.5985879979828543,126.8
2021-03-03 10:56:00,88,3170,1.5985879979828543,126.8
2021-03-03 10:57:00,86,3184,1.605648008068583,127.36
2021-03-03 10:58:00,88,3200,1.6137165910237017,128.0
2021-03-03 10:59:00,70,3203,1.6152294503277864,128.12
2021-03-03 11:00:00,80,3209,1.6182551689359557,128.36
2021-03-03 11:01:00,91,3220,1.6238023197175997,128.8
2021-03-03 11:02:00,63,3226,1.6268280383257692,129.04
2021-03-03 11:03:00,94,3249,1.638426626323752,129.96
2021-03-03 11:04:00,64,3260,1.643973777105396,130.4
2021-03-03 11:05:00,84,3282,1.655068078668684,131.28
2021-03-03 11:06:00,84,3287,1.6575895108421586,131.48
2021-03-03 11:07:00,89,3288,1.6580937972768537,131.52
2021-03-03 11:08:00,69,3310,1.6691880988401413,132.4
2021-03-03 11:09:00,75,3323,1.6757438224911752,132.92000000000002
2021-03-03 11:10:00,82,3327,1.6777609682299548,133.08
2021-03-03 11:11:00,96,3343,1.6858295511850734,133.72
2021-03-03 11:12:00,65,3343,1.6858295511850734,133.72
2021-03-03 11:13:00,84,3344,1.6863338376197683,133.76
2021-03-03 11:14:00,78,3350,1.6893595562279375,134.0
2021-03-03 11:15:00,107,3363,1.6959152798789714,134.52
2021-03-03 11:16:00,91,3387,1.7080181543116493,135.48
2021-03-03 11:17:00,67,3400,1.714573877962683,136.0
2021-03-03 11:18:00,62,3423,1.726172465960666,136.92000000000002
2021-03-03 11:19:00,99,3448,1.7387796268280384,137.92000000000002
2021-03-03 11:20:00,77,3463,1.746343923348462,138.52
2021-03-03 11:21:00,82,3480,1.7549167927382756,139.20000000000002
2021-03-03 11:22:00,79,3485,1.75743822491175,139.4
2021-03-03 11:23:00,79,3487,1.7584467977811398,139.48
2021-03-03 11:24:00,82,3487,1.7584467977811398,139.48
2021-03-03 11:25:00,75,3505,1.7675239536056482,140.20000000000002
2021-03-03 11:26:00,92,3506,1.768028240040343,140.24
2021-03-03 11:27:00,88,3528,1.779122541603631,141.12
2021-03-03 11:28:00,93,3552,1.7912254160363088,142.08
2021-03-03 11:29:00,79,3556,1.7932425617750885,142.24
2021-03-03 11:30:00,80,3556,1.7932425617750885,142.24
2021-03-03 11:31:00,87,3563,1.7967725668179528,142.52
2021-03-03 11:32:00,101,3576,1.8033282904689865,143.04
2021-03-03 11:33:00,77,3598,1.8144225920322743,143.92000000000002
2021-03-03 11:34:00,57,3615,1.822995461422088,144.6
2021-03-03 11:35:00,72,3638,1.8345940494200708,145.52
2021-03-03 11:36:00,65,3663,1.847201210287444,146.52
2021-03-03 11:37:00,71,3683,1.8572869389813416,147.32
2021-03-03 11:38:00,70,3697,1.8643469490670703,147.88
2021-03-03 11:39:00,88,3709,1.8703983862834093,148.36
2021-03-03 11:40:00,75,3730,1.8809884014120024,149.20000000000002
2021-03-03 11:41:00,72,3750,1.8910741301059004,150.0
2021-03-03 11:42:00,66,3770,1.9011598587997984,150.8
2021-03-03 11:43:00,80,3772,1.9021684316691885,150.88
2021-03-03 11:44:00,73,3775,1.903681290973273,151.0
2021-03-03 11:45:00,77,3796,1.914271306101866,151.84
2021-03-03 11:46:00,76,3818,1.925365607665154,152.72
2021-03-03 11:47:00,100,3843,1.9379727685325268,153.72
