timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-03 15:12:00,83,2361,0.9748142031379023,94.44
2021-03-03 15:13:00,81,2362,0.9752270850536746,94.48
2021-03-03 15:14:00,84,2365,0.9764657308009907,94.6
2021-03-03 15:15:00,78,2373,0.9797687861271676,94.92
2021-03-03 15:16:00,71,2380,0.9826589595375722,95.2
2021-03-03 15:17:00,47,2390,0.9867877786952932,95.6
2021-03-03 15:18:00,87,2393,0.9880264244426094,95.72
2021-03-03 15:19:00,76,2402,0.9917423616845582,96.08
2021-03-03 15:20:00,77,2412,0.9958711808422792,96.48
2021-03-03 15:21:00,72,2413,0.9962840627580511,96.52
2021-03-03 15:22:00,83,2413,0.9962840627580511,96.52
2021-03-03 15:23:00,71,2422,1.0,96.88
2021-03-03 15:24:00,78,2422,1.0,96.88
2021-03-03 15:25:00,80,2431,1.0037159372419489,97.24
2021-03-03 15:26:00,88,2432,1.004128819157721,97.28
2021-03-03 15:27:00,63,2440,1.0074318744838977,97.6
2021-03-03 15:28:00,75,2440,1.0074318744838977,97.6
2021-03-03 15:29:00,74,2447,1.0103220478943022,97.88
2021-03-03 15:30:00,74,2448,1.0107349298100743,97.92
2021-03-03 15:31:00,85,2450,1.0115606936416184,98.0
2021-03-03 15:32:00,73,2456,1.0140379851362509,98.24
2021-03-03 15:33:00,78,2461,1.016102394715111,98.44
2021-03-03 15:34:00,84,2465,1.0177539223781995,98.6
2021-03-03 15:35:00,85,2473,1.0210569777043763,98.92
2021-03-03 15:36:00,67,2480,1.023947151114781,99.2
2021-03-03 15:37:00,80,2489,1.02766308835673,99.56
2021-03-03 15:38:00,83,2498,1.0313790255986788,99.92
2021-03-03 15:39:00,92,2500,1.0322047894302229,100.0
2021-03-03 15:40:00,74,2503,1.0334434351775392,100.12
2021-03-03 15:41:00,90,2504,1.0338563170933113,100.16
2021-03-03 15:42:00,80,2511,1.0367464905037158,100.44
2021-03-03 15:43:00,88,2513,1.03757225433526,100.52
2021-03-03 15:44:00,104,2520,1.0404624277456649,100.8
2021-03-03 15:45:00,74,2525,1.0425268373245251,101.0
2021-03-03 15:46:00,92,2533,1.045829892650702,101.32
2021-03-03 15:47:00,86,2543,1.0499587118084228,101.72
2021-03-03 15:48:00,80,2551,1.0532617671345994,102.04
2021-03-03 15:49:00,90,2559,1.0565648224607762,102.36
2021-03-03 15:50:00,68,2560,1.0569777043765485,102.4
2021-03-03 15:51:00,83,2565,1.0590421139554087,102.6
2021-03-03 15:52:00,75,2571,1.0615194054500412,102.84
2021-03-03 15:53:00,63,2574,1.0627580511973576,102.96
2021-03-03 15:54:00,70,2579,1.064822460776218,103.16
2021-03-03 15:55:00,89,2581,1.065648224607762,103.24
2021-03-03 15:56:00,81,2590,1.069364161849711,103.6
2021-03-03 15:57:00,81,2600,1.0734929810074318,104.0
2021-03-03 15:58:00,74,2600,1.0734929810074318,104.0
2021-03-03 15:59:00,70,2607,1.0763831544178364,104.28
2021-03-03 16:00:00,55,2609,1.0772089182493807,104.36
2021-03-03 16:01:00,75,2618,1.080924855491329,104.72
2021-03-03 16:02:00,63,2622,1.0825763831544175,104.88
2021-03-03 16:03:00,77,2630,1.0858794384805943,105.2
2021-03-03 16:04:00,67,2634,1.087530966143683,105.36
2021-03-03 16:05:00,86,2644,1.0916597853014038,105.76
2021-03-03 16:06:00,74,2645,1.092072667217176,105.8
2021-03-03 16:07:00,81,2646,1.092485549132948,105.84
2021-03-03 16:08:00,83,2655,1.0962014863748968,106.2
2021-03-03 16:09:00,87,2661,1.0986787778695293,106.44
2021-03-03 16:10:00,73,2666,1.1007431874483895,106.64
2021-03-03 16:11:00,78,2666,1.1007431874483895,106.64
2021-03-03 16:12:00,80,2675,1.1044591246903386,107.0
2021-03-03 16:13:00,76,2677,1.105284888521883,107.08
2021-03-03 16:14:00,66,2682,1.1073492981007431,107.28
2021-03-03 16:15:00,86,2688,1.1098265895953756,107.52
2021-03-03 16:16:00,74,2698,1.1139554087530965,107.92
2021-03-03 16:17:00,49,2702,1.115606936416185,108.08
2021-03-03 16:18:00,64,2703,1.116019818331957,108.12
2021-03-03 16:19:00,71,2707,1.1176713459950454,108.28
2021-03-03 16:20:00,71,2712,1.1197357555739058,108.48
2021-03-03 16:21:00,81,2713,1.120148637489678,108.52
2021-03-03 16:22:00,79,2718,1.1222130470685383,108.72
2021-03-03 16:23:00,70,2720,1.1230388109000826,108.8
2021-03-03 16:24:00,80,2728,1.1263418662262592,109.12
2021-03-03 16:25:00,87,2738,1.13047068538398,109.52
2021-03-03 16:26:00,78,2738,1.13047068538398,109.52
2021-03-03 16:27:00,60,2741,1.1317093311312965,109.64
2021-03-03 16:28:00,68,2742,1.1321222130470685,109.68
2021-03-03 16:29:00,68,2748,1.134599504541701,109.92
2021-03-03 16:30:00,78,2754,1.1370767960363335,110.16
2021-03-03 16:31:00,95,2763,1.1407927332782823,110.52
2021-03-03 16:32:00,78,2765,1.1416184971098264,110.6
2021-03-03 16:33:00,69,2769,1.1432700247729148,110.76
2021-03-03 16:34:00,67,2769,1.1432700247729148,110.76
2021-03-03 16:35:00,91,2772,1.1445086705202312,110.88
