timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-01 12:59:00,70,1847,1.018753447324876,73.88
2021-03-01 13:00:00,65,1848,1.0193050193050197,73.92
2021-03-01 13:01:00,88,1858,1.0248207391064534,74.32000000000001
2021-03-01 13:02:00,69,1868,1.0303364589078876,74.72
2021-03-01 13:03:00,97,1878,1.0358521787093216,75.12
2021-03-01 13:04:00,63,1878,1.0358521787093216,75.12
2021-03-01 13:05:00,63,1880,1.0369553226696084,75.2
2021-03-01 13:06:00,73,1887,1.0408163265306123,75.48
2021-03-01 13:07:00,71,1889,1.0419194704908992,75.56
2021-03-01 13:08:00,57,1890,1.0424710424710426,75.60000000000001
2021-03-01 13:09:00,83,1896,1.045780474351903,75.84
2021-03-01 13:10:00,77,1905,1.0507446221731938,76.2
2021-03-01 13:11:00,66,1908,1.052399338113624,76.32000000000001
2021-03-01 13:12:00,73,1909,1.0529509100937673,76.36
2021-03-01 13:13:00,70,1916,1.0568119139547711,76.64
2021-03-01 13:14:00,80,1922,1.0601213458356316,76.88
2021-03-01 13:15:00,69,1922,1.0601213458356316,76.88
2021-03-01 13:16:00,84,1927,1.0628792057363488,77.08
2021-03-01 13:17:00,85,1932,1.0656370656370655,77.28
2021-03-01 13:18:00,77,1937,1.0683949255377827,77.48
2021-03-01 13:19:00,78,1941,1.0706012134583565,77.64
2021-03-01 13:20:00,81,1949,1.0750137892995038,77.96000000000001
2021-03-01 13:21:00,79,1951,1.0761169332597904,78.04
2021-03-01 13:22:00,85,1952,1.0766685052399338,78.08
2021-03-01 13:23:00,81,1954,1.0777716492002207,78.16
2021-03-01 13:24:00,81,1954,1.0777716492002207,78.16
2021-03-01 13:25:00,80,1959,1.0805295091009377,78.36
2021-03-01 13:26:00,83,1964,1.083287369001655,78.56
2021-03-01 13:27:00,81,1970,1.086596800882515,78.8
2021-03-01 13:28:00,69,1977,1.0904578047435192,79.08
2021-03-01 13:29:00,64,1977,1.0904578047435192,79.08
2021-03-01 13:30:00,94,1981,1.0926640926640927,79.24
2021-03-01 13:31:00,88,1988,1.0965250965250966,79.52
2021-03-01 13:32:00,89,1989,1.09707666850524,79.56
2021-03-01 13:33:00,72,1993,1.0992829564258138,79.72
2021-03-01 13:34:00,86,2000,1.1031439602868176,80.0
2021-03-01 13:35:00,82,2003,1.1047986762272477,80.12
2021-03-01 13:36:00,81,2009,1.108108108108108,80.36
2021-03-01 13:37:00,76,2017,1.1125206839492554,80.68
2021-03-01 13:38:00,97,2023,1.1158301158301158,80.92
2021-03-01 13:39:00,77,2032,1.1207942636514066,81.28
2021-03-01 13:40:00,109,2038,1.124103695532267,81.52
2021-03-01 13:41:00,76,2043,1.1268615554329842,81.72
2021-03-01 13:42:00,75,2044,1.1274131274131276,81.76
2021-03-01 13:43:00,86,2052,1.131825703254275,82.08
2021-03-01 13:44:00,93,2062,1.1373414230557088,82.48
2021-03-01 13:45:00,88,2064,1.1384445670159955,82.56
2021-03-01 13:46:00,72,2067,1.1400992829564258,82.68
2021-03-01 13:47:00,97,2077,1.14561500275786,83.08
2021-03-01 13:48:00,80,2082,1.148372862658577,83.28
2021-03-01 13:49:00,88,2085,1.1500275785990073,83.4
2021-03-01 13:50:00,82,2086,1.1505791505791507,83.44
2021-03-01 13:51:00,100,2091,1.1533370104798677,83.64
2021-03-01 13:52:00,68,2095,1.1555432984004417,83.8
2021-03-01 13:53:00,78,2096,1.156094870380585,83.84
2021-03-01 13:54:00,77,2105,1.1610590182018754,84.2
2021-03-01 13:55:00,103,2110,1.1638168781025924,84.4
2021-03-01 13:56:00,71,2111,1.1643684500827358,84.44
2021-03-01 13:57:00,95,2121,1.16988416988417,84.84
2021-03-01 13:58:00,53,2125,1.1720904578047435,85.0
2021-03-01 13:59:00,81,2127,1.1731936017650304,85.08
2021-03-01 14:00:00,80,2136,1.1781577495863211,85.44
2021-03-01 14:01:00,106,2142,1.1814671814671815,85.68
2021-03-01 14:02:00,80,2150,1.1858797573083288,86.0
2021-03-01 14:03:00,81,2160,1.191395477109763,86.4
2021-03-01 14:04:00,77,2162,1.1924986210700497,86.48
2021-03-01 14:05:00,80,2170,1.196911196911197,86.8
2021-03-01 14:06:00,66,2171,1.1974627688913404,86.84
2021-03-01 14:07:00,79,2181,1.2029784886927746,87.24
