timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-02 13:27:00,69,1944,1.0183342063907803,77.76
2021-03-02 13:28:00,96,1953,1.0230487166055526,78.12
2021-03-02 13:29:00,80,1956,1.0246202200104768,78.24
2021-03-02 13:30:00,69,1961,1.027239392352017,78.44
2021-03-02 13:31:00,91,1962,1.0277632268203247,78.48
2021-03-02 13:32:00,67,1968,1.0309062336301729,78.72
2021-03-02 13:33:00,81,1975,1.034573074908329,79.0
2021-03-02 13:34:00,69,1975,1.034573074908329,79.0
2021-03-02 13:35:00,92,1981,1.0377160817181772,79.24
2021-03-02 13:36:00,76,1981,1.0377160817181772,79.24
2021-03-02 13:37:00,82,1986,1.0403352540597173,79.44
2021-03-02 13:38:00,71,1992,1.0434782608695652,79.68
2021-03-02 13:39:00,89,1998,1.046621267679413,79.92
2021-03-02 13:40:00,68,2003,1.0492404400209534,80.12
2021-03-02 13:41:00,77,2007,1.0513357778941854,80.28
2021-03-02 13:42:00,85,2013,1.0544787847040336,80.52
2021-03-02 13:43:00,100,2018,1.0570979570455736,80.72
2021-03-02 13:44:00,103,2027,1.0618124672603455,81.08
2021-03-02 13:45:00,81,2037,1.067050811943426,81.48
2021-03-02 13:46:00,85,2045,1.07124148768989,81.8
2021-03-02 13:47:00,91,2051,1.074384494499738,82.04
2021-03-02 13:48:00,89,2056,1.077003666841278,82.24
2021-03-02 13:49:00,76,2060,1.0790990047145104,82.4
2021-03-02 13:50:00,88,2063,1.0806705081194343,82.52
2021-03-02 13:51:00,86,2069,1.0838135149292825,82.76
2021-03-02 13:52:00,77,2079,1.0890518596123626,83.16
2021-03-02 13:53:00,86,2081,1.0900995285489783,83.24
2021-03-02 13:54:00,67,2081,1.0900995285489783,83.24
2021-03-02 13:55:00,77,2081,1.0900995285489783,83.24
2021-03-02 13:56:00,78,2091,1.095337873232059,83.64
2021-03-02 13:57:00,90,2100,1.1000523834468308,84.0
2021-03-02 13:58:00,88,2102,1.1011000523834469,84.08
2021-03-02 13:59:00,76,2110,1.105290728129911,84.4
2021-03-02 14:00:00,66,2112,1.106338397066527,84.48
2021-03-02 14:01:00,79,2122,1.1115767417496072,84.88
2021-03-02 14:02:00,71,2127,1.1141959140911473,85.08
2021-03-02 14:03:00,93,2131,1.1162912519643793,85.24
2021-03-02 14:04:00,88,2137,1.1194342587742274,85.48
2021-03-02 14:05:00,92,2143,1.1225772655840756,85.72
2021-03-02 14:06:00,73,2152,1.1272917757988477,86.08
2021-03-02 14:07:00,89,2159,1.1309586170770036,86.36
2021-03-02 14:08:00,77,2165,1.1341016238868518,86.60000000000001
2021-03-02 14:09:00,63,2169,1.1361969617600838,86.76
2021-03-02 14:10:00,69,2175,1.139339968569932,87.0
2021-03-02 14:11:00,92,2177,1.140387637506548,87.08
2021-03-02 14:12:00,65,2177,1.140387637506548,87.08
2021-03-02 14:13:00,69,2179,1.141435306443164,87.16
2021-03-02 14:14:00,64,2188,1.1461498166579362,87.52
2021-03-02 14:15:00,76,2198,1.1513881613410164,87.92
2021-03-02 14:16:00,82,2202,1.1534834992142484,88.08
2021-03-02 14:17:00,58,2206,1.1555788370874804,88.24
2021-03-02 14:18:00,93,2210,1.1576741749607125,88.4
2021-03-02 14:19:00,80,2215,1.1602933473022523,88.60000000000001
2021-03-02 14:20:00,76,2217,1.1613410162388689,88.68
2021-03-02 14:21:00,82,2226,1.1660555264536407,89.04
2021-03-02 14:22:00,81,2229,1.1676270298585647,89.16
2021-03-02 14:23:00,78,2234,1.1702462022001048,89.36
2021-03-02 14:24:00,87,2234,1.1702462022001048,89.36
2021-03-02 14:25:00,86,2238,1.1723415400733368,89.52
2021-03-02 14:26:00,97,2241,1.173913043478261,89.64
2021-03-02 14:27:00,78,2244,1.175484546883185,89.76
2021-03-02 14:28:00,81,2253,1.180199057097957,90.12
2021-03-02 14:29:00,87,2254,1.180722891566265,90.16
2021-03-02 14:30:00,71,2262,1.1849135673127291,90.48
