timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-03 14:30:00,60,5551,2.7453016815034617,222.04
2021-03-03 14:31:00,73,5560,2.7497527200791296,222.4
2021-03-03 14:32:00,89,5581,2.760138476755688,223.24
2021-03-03 14:33:00,65,5597,2.768051434223541,223.88
2021-03-03 14:34:00,70,5613,2.7759643916913945,224.52
2021-03-03 14:35:00,93,5636,2.787339268051434,225.44
2021-03-03 14:36:00,72,5647,2.792779426310584,225.88
2021-03-03 14:37:00,94,5655,2.7967359050445104,226.2
2021-03-03 14:38:00,82,5667,2.8026706231454006,226.68
2021-03-03 14:39:00,83,5689,2.813550939663699,227.56
2021-03-03 14:40:00,66,5694,2.816023738872404,227.76
2021-03-03 14:41:00,87,5717,2.827398615232443,228.68
2021-03-03 14:42:00,80,5737,2.83728981206726,229.48
2021-03-03 14:43:00,64,5740,2.8387734915924825,229.6
2021-03-03 14:44:00,77,5755,2.846191889218596,230.2
2021-03-03 14:45:00,75,5769,2.8531157270029674,230.76
2021-03-03 14:46:00,87,5788,2.8625123639960437,231.52
2021-03-03 14:47:00,72,5804,2.870425321463897,232.16
2021-03-03 14:48:00,89,5818,2.877349159248269,232.72
2021-03-03 14:49:00,70,5840,2.888229475766568,233.6
2021-03-03 14:50:00,97,5852,2.894164193867458,234.08
2021-03-03 14:51:00,66,5861,2.8986152324431256,234.44
2021-03-03 14:52:00,51,5866,2.9010880316518297,234.64
2021-03-03 14:53:00,81,5866,2.9010880316518297,234.64
2021-03-03 14:54:00,59,5875,2.905539070227497,235.0
2021-03-03 14:55:00,76,5889,2.9124629080118694,235.56
2021-03-03 14:56:00,79,5893,2.9144411473788328,235.72
2021-03-03 14:57:00,89,5908,2.9218595450049456,236.32
2021-03-03 14:58:00,74,5913,2.9243323442136497,236.52
2021-03-03 14:59:00,78,5913,2.9243323442136497,236.52
2021-03-03 15:00:00,66,5928,2.9317507418397626,237.12
2021-03-03 15:01:00,70,5929,2.9322453016815038,237.16
2021-03-03 15:02:00,67,5947,2.941147378832839,237.88
2021-03-03 15:03:00,79,5963,2.9490603363006924,238.52
2021-03-03 15:04:00,61,5967,2.951038575667656,238.68
2021-03-03 15:05:00,90,5980,2.9574678536102867,239.2
2021-03-03 15:06:00,76,6000,2.967359050445104,240.0
2021-03-03 15:07:00,76,6007,2.97082096933729,240.28
2021-03-03 15:08:00,84,6022,2.978239366963402,240.88
2021-03-03 15:09:00,82,6025,2.979723046488625,241.0
2021-03-03 15:10:00,91,6033,2.983679525222552,241.32
2021-03-03 15:11:00,66,6050,2.9920870425321464,242.0
2021-03-03 15:12:00,91,6073,3.003461918892186,242.92
2021-03-03 15:13:00,73,6079,3.006429277942631,243.16
2021-03-03 15:14:00,93,6085,3.009396636993076,243.4
2021-03-03 15:15:00,59,6110,3.0217606330365974,244.4
2021-03-03 15:16:00,73,6114,3.0237388724035608,244.56
2021-03-03 15:17:00,95,6125,3.02917903066271,245.0
2021-03-03 15:18:00,65,6148,3.04055390702275,245.92
2021-03-03 15:19:00,90,6154,3.0435212660731947,246.16
2021-03-03 15:20:00,94,6161,3.046983184965381,246.44
