timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-12 14:02:00,80,10373,4.797872340425532,414.92
2021-03-12 14:03:00,73,10377,4.799722479185939,415.08
2021-03-12 14:04:00,70,10388,4.804810360777059,415.52
2021-03-12 14:05:00,96,10429,4.823774283071231,417.16
2021-03-12 14:06:00,71,10461,4.838575393154486,418.44
2021-03-12 14:07:00,70,10461,4.838575393154486,418.44
2021-03-12 14:08:00,77,10469,4.842275670675301,418.76
2021-03-12 14:09:00,74,10496,4.854764107308048,419.84
2021-03-12 14:10:00,73,10534,4.872340425531915,421.36
2021-03-12 14:11:00,77,10572,4.889916743755782,422.88
2021-03-12 14:12:00,83,10617,4.910730804810361,424.68
2021-03-12 14:13:00,90,10636,4.919518963922294,425.44
2021-03-12 14:14:00,78,10653,4.927382053654024,426.12
2021-03-12 14:15:00,76,10686,4.942645698427382,427.44
2021-03-12 14:16:00,72,10722,4.959296947271046,428.88
2021-03-12 14:17:00,76,10744,4.969472710453284,429.76
2021-03-12 14:18:00,97,10783,4.987511563367253,431.32
2021-03-12 14:19:00,65,10811,5.000462534690102,432.44
2021-03-12 14:20:00,77,10839,5.013413506012951,433.56
2021-03-12 14:21:00,73,10880,5.032377428307123,435.2
2021-03-12 14:22:00,82,10925,5.053191489361702,437.0
2021-03-12 14:23:00,74,10931,5.0559666975023125,437.24
2021-03-12 14:24:00,89,10934,5.057354301572619,437.36
2021-03-12 14:25:00,84,10975,5.076318223866791,439.0
2021-03-12 14:26:00,89,11004,5.089731729879741,440.16
2021-03-12 14:27:00,79,11038,5.105457909343201,441.52
2021-03-12 14:28:00,95,11062,5.116558741905643,442.48
2021-03-12 14:29:00,59,11083,5.12627197039778,443.32
2021-03-12 14:30:00,72,11085,5.127197039777983,443.4
2021-03-12 14:31:00,85,11120,5.143385753931545,444.8
2021-03-12 14:32:00,98,11141,5.153098982423682,445.64
2021-03-12 14:33:00,78,11179,5.170675300647549,447.16
2021-03-12 14:34:00,81,11229,5.193802035152637,449.16
2021-03-12 14:35:00,79,11252,5.204440333024977,450.08
2021-03-12 14:36:00,55,11259,5.207678075855689,450.36
2021-03-12 14:37:00,73,11301,5.227104532839963,452.04
2021-03-12 14:38:00,78,11328,5.239592969472711,453.12
2021-03-12 14:39:00,61,11371,5.259481961147086,454.84
2021-03-12 14:40:00,81,11407,5.27613320999075,456.28
2021-03-12 14:41:00,86,11409,5.277058279370953,456.36
2021-03-12 14:42:00,91,11446,5.294172062904718,457.84
2021-03-12 14:43:00,66,11478,5.308973172987974,459.12
2021-03-12 14:44:00,75,11527,5.331637372802961,461.08
2021-03-12 14:45:00,91,11537,5.336262719703978,461.48
2021-03-12 14:46:00,73,11586,5.358926919518964,463.44
2021-03-12 14:47:00,66,11620,5.374653098982424,464.8
2021-03-12 14:48:00,81,11634,5.381128584643848,465.36
2021-03-12 14:49:00,84,11669,5.39731729879741,466.76
2021-03-12 14:50:00,80,11693,5.408418131359852,467.72
2021-03-12 14:51:00,89,11726,5.42368177613321,469.04
2021-03-12 14:52:00,73,11734,5.427382053654024,469.36
2021-03-12 14:53:00,91,11756,5.437557816836263,470.24
2021-03-12 14:54:00,84,11777,5.4472710453284,471.08
2021-03-12 14:55:00,79,11785,5.450971322849214,471.4
2021-03-12 14:56:00,92,11832,5.472710453283996,473.28
2021-03-12 14:57:00,89,11846,5.479185938945421,473.84
2021-03-12 14:58:00,75,11876,5.493061979648474,475.04
2021-03-12 14:59:00,92,11887,5.498149861239593,475.48
2021-03-12 15:00:00,73,11930,5.518038852913969,477.2
