timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-09 14:54:00,95,2377,1.1455421686746987,95.08
2021-03-09 14:55:00,56,2378,1.146024096385542,95.12
2021-03-09 14:56:00,85,2378,1.146024096385542,95.12
2021-03-09 14:57:00,70,2380,1.1469879518072288,95.2
2021-03-09 14:58:00,81,2385,1.1493975903614455,95.4
2021-03-09 14:59:00,60,2389,1.1513253012048192,95.56
2021-03-09 15:00:00,84,2399,1.156144578313253,95.96
2021-03-09 15:01:00,76,2401,1.1571084337349398,96.04
2021-03-09 15:02:00,73,2404,1.1585542168674698,96.16
2021-03-09 15:03:00,94,2408,1.1604819277108434,96.32
2021-03-09 15:04:00,86,2416,1.1643373493975904,96.64
2021-03-09 15:05:00,71,2416,1.1643373493975904,96.64
2021-03-09 15:06:00,91,2417,1.1648192771084336,96.68
2021-03-09 15:07:00,70,2419,1.1657831325301204,96.76
2021-03-09 15:08:00,88,2420,1.166265060240964,96.8
2021-03-09 15:09:00,76,2421,1.166746987951807,96.84
2021-03-09 15:10:00,63,2430,1.1710843373493975,97.2
2021-03-09 15:11:00,75,2435,1.1734939759036145,97.4
2021-03-09 15:12:00,82,2445,1.178313253012048,97.8
2021-03-09 15:13:00,86,2455,1.1831325301204818,98.2
2021-03-09 15:14:00,80,2464,1.1874698795180725,98.56
2021-03-09 15:15:00,68,2470,1.1903614457831324,98.8
2021-03-09 15:16:00,94,2476,1.1932530120481928,99.04
2021-03-09 15:17:00,66,2486,1.1980722891566264,99.44
2021-03-09 15:18:00,85,2486,1.1980722891566264,99.44
2021-03-09 15:19:00,85,2496,1.20289156626506,99.84
2021-03-09 15:20:00,90,2498,1.203855421686747,99.92
2021-03-09 15:21:00,96,2500,1.2048192771084336,100.0
2021-03-09 15:22:00,96,2505,1.2072289156626506,100.2
2021-03-09 15:23:00,59,2514,1.211566265060241,100.56
2021-03-09 15:24:00,79,2517,1.213012048192771,100.68
2021-03-09 15:25:00,75,2526,1.217349397590361,101.04
2021-03-09 15:26:00,87,2526,1.217349397590361,101.04
2021-03-09 15:27:00,81,2528,1.2183132530120482,101.12
2021-03-09 15:28:00,66,2537,1.2226506024096384,101.48
2021-03-09 15:29:00,74,2537,1.2226506024096384,101.48
2021-03-09 15:30:00,71,2539,1.2236144578313253,101.56
2021-03-09 15:31:00,88,2540,1.2240963855421687,101.6
2021-03-09 15:32:00,85,2542,1.2250602409638554,101.68
2021-03-09 15:33:00,76,2550,1.2289156626506024,102.0
2021-03-09 15:34:00,77,2554,1.230843373493976,102.16
2021-03-09 15:35:00,95,2558,1.2327710843373494,102.32
2021-03-09 15:36:00,74,2566,1.2366265060240964,102.64
2021-03-09 15:37:00,78,2568,1.237590361445783,102.72
2021-03-09 15:38:00,57,2569,1.2380722891566265,102.76
2021-03-09 15:39:00,66,2576,1.24144578313253,103.04
2021-03-09 15:40:00,86,2577,1.2419277108433735,103.08
2021-03-09 15:41:00,87,2587,1.2467469879518072,103.48
2021-03-09 15:42:00,65,2589,1.247710843373494,103.56
2021-03-09 15:43:00,90,2597,1.2515662650602408,103.88
2021-03-09 15:44:00,91,2603,1.2544578313253012,104.12
2021-03-09 15:45:00,100,2605,1.2554216867469878,104.2
2021-03-09 15:46:00,73,2615,1.2602409638554215,104.6
2021-03-09 15:47:00,76,2621,1.263132530120482,104.84
2021-03-09 15:48:00,83,2627,1.266024096385542,105.08
2021-03-09 15:49:00,94,2637,1.270843373493976,105.48
2021-03-09 15:50:00,98,2646,1.275180722891566,105.84
2021-03-09 15:51:00,83,2655,1.2795180722891566,106.2
2021-03-09 15:52:00,75,2662,1.2828915662650602,106.48
2021-03-09 15:53:00,91,2669,1.2862650602409638,106.76
2021-03-09 15:54:00,80,2671,1.2872289156626506,106.84
2021-03-09 15:55:00,89,2671,1.2872289156626506,106.84
2021-03-09 15:56:00,73,2678,1.2906024096385542,107.12
2021-03-09 15:57:00,84,2688,1.295421686746988,107.52
