timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-10 07:00:00,78,0,0.0,0.0
2021-03-10 07:01:00,74,34,0.014655172413793103,1.36
2021-03-10 07:02:00,73,81,0.034913793103448276,3.24
2021-03-10 07:03:00,56,97,0.04181034482758621,3.88
2021-03-10 07:04:00,85,120,0.05172413793103448,4.8
2021-03-10 07:05:00,87,160,0.06896551724137931,6.4
2021-03-10 07:06:00,81,202,0.08706896551724137,8.08
2021-03-10 07:07:00,87,241,0.10387931034482759,9.64
2021-03-10 07:08:00,74,249,0.10732758620689654,9.96
2021-03-10 07:09:00,87,254,0.10948275862068965,10.16
2021-03-10 07:10:00,78,303,0.13060344827586207,12.120000000000001
2021-03-10 07:11:00,73,306,0.13189655172413792,12.24
2021-03-10 07:12:00,85,347,0.1495689655172414,13.88
2021-03-10 07:13:00,74,386,0.16637931034482759,15.44
2021-03-10 07:14:00,68,428,0.18448275862068966,17.12
2021-03-10 07:15:00,77,467,0.20129310344827586,18.68
2021-03-10 07:16:00,78,504,0.21724137931034482,20.16
2021-03-10 07:17:00,103,506,0.21810344827586206,20.240000000000002
2021-03-10 07:18:00,76,548,0.23620689655172414,21.92
2021-03-10 07:19:00,67,581,0.2504310344827586,23.240000000000002
2021-03-10 07:20:00,85,615,0.2650862068965517,24.6
2021-03-10 07:21:00,69,659,0.284051724137931,26.36
2021-03-10 07:22:00,85,665,0.28663793103448276,26.6
2021-03-10 07:23:00,78,693,0.2987068965517241,27.72
2021-03-10 07:24:00,74,709,0.30560344827586206,28.36
2021-03-10 07:25:00,87,756,0.3258620689655172,30.240000000000002
2021-03-10 07:26:00,89,796,0.3431034482758621,31.84
2021-03-10 07:27:00,82,839,0.3616379310344828,33.56
2021-03-10 07:28:00,64,886,0.38189655172413794,35.44
2021-03-10 07:29:00,69,900,0.3879310344827586,36.0
2021-03-10 07:30:00,55,938,0.4043103448275862,37.52
2021-03-10 07:31:00,67,960,0.41379310344827586,38.4
2021-03-10 07:32:00,66,976,0.4206896551724138,39.04
2021-03-10 07:33:00,76,998,0.43017241379310345,39.92
2021-03-10 07:34:00,85,1006,0.4336206896551724,40.24
2021-03-10 07:35:00,94,1036,0.44655172413793104,41.44
2021-03-10 07:36:00,82,1072,0.46206896551724136,42.88
2021-03-10 07:37:00,83,1098,0.4732758620689655,43.92
2021-03-10 07:38:00,90,1121,0.4831896551724138,44.84
2021-03-10 07:39:00,73,1161,0.5004310344827586,46.44
2021-03-10 07:40:00,68,1179,0.5081896551724138,47.160000000000004
2021-03-10 07:41:00,67,1182,0.5094827586206897,47.28
2021-03-10 07:42:00,66,1228,0.5293103448275862,49.120000000000005
