timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-12 07:00:00,82,0,0.0,0.0
2021-03-12 07:01:00,75,12,0.006103763987792472,0.48
2021-03-12 07:02:00,94,19,0.009664292980671414,0.76
2021-03-12 07:03:00,92,42,0.021363173957273652,1.68
2021-03-12 07:04:00,99,50,0.025432349949135298,2.0
2021-03-12 07:05:00,75,61,0.031027466937945065,2.44
2021-03-12 07:06:00,94,80,0.04069175991861648,3.2
2021-03-12 07:07:00,53,81,0.041200406917599186,3.24
2021-03-12 07:08:00,66,92,0.04679552390640895,3.68
2021-03-12 07:09:00,72,97,0.04933875890132248,3.88
2021-03-12 07:10:00,80,113,0.05747711088504578,4.5200000000000005
2021-03-12 07:11:00,78,128,0.06510681586978637,5.12
2021-03-12 07:12:00,80,138,0.07019328585961343,5.5200000000000005
2021-03-12 07:13:00,99,156,0.07934893184130214,6.24
2021-03-12 07:14:00,115,173,0.08799593082400814,6.92
2021-03-12 07:15:00,60,176,0.08952187182095625,7.04
2021-03-12 07:16:00,73,177,0.09003051881993895,7.08
2021-03-12 07:17:00,75,199,0.10122075279755849,7.96
2021-03-12 07:18:00,92,210,0.10681586978636826,8.4
2021-03-12 07:19:00,88,235,0.1195320447609359,9.4
2021-03-12 07:20:00,55,242,0.12309257375381485,9.68
2021-03-12 07:21:00,85,252,0.12817904374364192,10.08
2021-03-12 07:22:00,100,257,0.13072227873855544,10.28
2021-03-12 07:23:00,98,270,0.1373346897253306,10.8
2021-03-12 07:24:00,69,276,0.14038657171922686,11.040000000000001
2021-03-12 07:25:00,76,290,0.14750762970498474,11.6
2021-03-12 07:26:00,71,295,0.15005086469989826,11.8
2021-03-12 07:27:00,85,315,0.16022380467955238,12.6
2021-03-12 07:28:00,72,323,0.16429298067141404,12.92
2021-03-12 07:29:00,84,328,0.16683621566632756,13.120000000000001
2021-03-12 07:30:00,78,339,0.17243133265513733,13.56
2021-03-12 07:31:00,93,352,0.1790437436419125,14.08
2021-03-12 07:32:00,85,365,0.18565615462868768,14.6
2021-03-12 07:33:00,73,385,0.1958290946083418,15.4
