timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-02 10:04:00,68,4665,1.8848484848484848,186.6
2021-03-02 10:05:00,71,4691,1.8953535353535356,187.64
2021-03-02 10:06:00,75,4731,1.911515151515152,189.24
2021-03-02 10:07:00,88,4771,1.927676767676768,190.84
2021-03-02 10:08:00,76,4820,1.947474747474748,192.8
2021-03-02 10:09:00,82,4845,1.9575757575757573,193.8
2021-03-02 10:10:00,57,4883,1.972929292929293,195.32
2021-03-02 10:11:00,96,4912,1.9846464646464643,196.48
2021-03-02 10:12:00,73,4951,2.00040404040404,198.04
2021-03-02 10:13:00,79,4967,2.0068686868686867,198.68
2021-03-02 10:14:00,72,4967,2.0068686868686867,198.68
2021-03-02 10:15:00,61,4990,2.0161616161616163,199.6
2021-03-02 10:16:00,98,5031,2.0327272727272727,201.24
2021-03-02 10:17:00,82,5042,2.037171717171717,201.68
2021-03-02 10:18:00,78,5050,2.04040404040404,202.0
2021-03-02 10:19:00,52,5077,2.0513131313131314,203.08
2021-03-02 10:20:00,78,5105,2.062626262626263,204.2
2021-03-02 10:21:00,92,5149,2.0804040404040403,205.96
2021-03-02 10:22:00,72,5154,2.0824242424242425,206.16
2021-03-02 10:23:00,73,5175,2.090909090909091,207.0
2021-03-02 10:24:00,83,5176,2.0913131313131315,207.04
2021-03-02 10:25:00,75,5190,2.096969696969697,207.6
2021-03-02 10:26:00,87,5193,2.098181818181818,207.72
2021-03-02 10:27:00,85,5211,2.105454545454545,208.44
2021-03-02 10:28:00,77,5255,2.123232323232324,210.2
2021-03-02 10:29:00,84,5258,2.1244444444444444,210.32
2021-03-02 10:30:00,86,5266,2.127676767676768,210.64
2021-03-02 10:31:00,88,5280,2.1333333333333333,211.2
2021-03-02 10:32:00,69,5281,2.133737373737374,211.24
2021-03-02 10:33:00,77,5309,2.145050505050505,212.36
2021-03-02 10:34:00,103,5339,2.157171717171717,213.56
2021-03-02 10:35:00,75,5389,2.1773737373737374,215.56
2021-03-02 10:36:00,98,5404,2.1834343434343437,216.16
2021-03-02 10:37:00,73,5428,2.193131313131313,217.12
2021-03-02 10:38:00,91,5458,2.205252525252525,218.32
2021-03-02 10:39:00,77,5506,2.2246464646464648,220.24
