timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-04 14:07:00,69,10870,4.689387402933564,434.8
2021-03-04 14:08:00,89,10915,4.708800690250216,436.6
2021-03-04 14:09:00,78,10916,4.709232096635031,436.64
2021-03-04 14:10:00,85,10945,4.7217428817946505,437.8
2021-03-04 14:11:00,78,10976,4.7351164797239,439.04
2021-03-04 14:12:00,90,10998,4.744607420189819,439.92
2021-03-04 14:13:00,73,11031,4.758843830888697,441.24
2021-03-04 14:14:00,74,11061,4.771786022433132,442.44
2021-03-04 14:15:00,90,11107,4.791630716134599,444.28
2021-03-04 14:16:00,63,11118,4.796376186367558,444.72
2021-03-04 14:17:00,73,11149,4.809749784296808,445.96
2021-03-04 14:18:00,79,11194,4.82916307161346,447.76
2021-03-04 14:19:00,69,11216,4.838654012079379,448.64
2021-03-04 14:20:00,63,11238,4.848144952545298,449.52
2021-03-04 14:21:00,104,11271,4.862381363244176,450.84
2021-03-04 14:22:00,78,11302,4.875754961173426,452.08
2021-03-04 14:23:00,59,11336,4.890422778257118,453.44
2021-03-04 14:24:00,88,11383,4.9106988783434,455.32
2021-03-04 14:25:00,67,11399,4.917601380500432,455.96
2021-03-04 14:26:00,77,11423,4.92795513373598,456.92
2021-03-04 14:27:00,80,11439,4.934857635893011,457.56
2021-03-04 14:28:00,82,11458,4.943054357204487,458.32
2021-03-04 14:29:00,72,11476,4.950819672131148,459.04
2021-03-04 14:30:00,87,11513,4.966781708369284,460.52
2021-03-04 14:31:00,78,11537,4.977135461604832,461.48
2021-03-04 14:32:00,102,11540,4.978429680759276,461.6
2021-03-04 14:33:00,84,11576,4.993960310612597,463.04
2021-03-04 14:34:00,87,11594,5.001725625539258,463.76
2021-03-04 14:35:00,87,11622,5.013805004314064,464.88
2021-03-04 14:36:00,77,11645,5.023727351164798,465.8
2021-03-04 14:37:00,86,11677,5.037532355478861,467.08
2021-03-04 14:38:00,71,11689,5.042709232096636,467.56
2021-03-04 14:39:00,101,11732,5.061259706643659,469.28
2021-03-04 14:40:00,75,11750,5.06902502157032,470.0
2021-03-04 14:41:00,83,11757,5.0720448662640205,470.28
2021-03-04 14:42:00,76,11763,5.074633304572908,470.52
2021-03-04 14:43:00,69,11772,5.078515962036239,470.88
2021-03-04 14:44:00,89,11820,5.099223468507335,472.8
2021-03-04 14:45:00,77,11827,5.102243313201035,473.08
2021-03-04 14:46:00,62,11840,5.107851596203624,473.6
2021-03-04 14:47:00,90,11886,5.12769628990509,475.44
2021-03-04 14:48:00,66,11908,5.137187230371009,476.32
2021-03-04 14:49:00,73,11934,5.148403796376186,477.36
2021-03-04 14:50:00,85,11947,5.154012079378775,477.88
2021-03-04 14:51:00,63,11956,5.157894736842105,478.24
2021-03-04 14:52:00,80,11979,5.167817083692839,479.16
2021-03-04 14:53:00,91,11992,5.173425366695428,479.68
2021-03-04 14:54:00,69,12034,5.1915444348576365,481.36
2021-03-04 14:55:00,84,12081,5.211820534943917,483.24
2021-03-04 14:56:00,75,12127,5.231665228645384,485.08
2021-03-04 14:57:00,78,12166,5.248490077653149,486.64
2021-03-04 14:58:00,99,12188,5.257981018119068,487.52
2021-03-04 14:59:00,94,12211,5.2679033649698015,488.44
2021-03-04 15:00:00,99,12217,5.270491803278689,488.68
2021-03-04 15:01:00,73,12247,5.283433994823124,489.88
2021-03-04 15:02:00,75,12263,5.290336496980156,490.52
2021-03-04 15:03:00,75,12307,5.3093183779119935,492.28
2021-03-04 15:04:00,77,12320,5.3149266609145815,492.8
2021-03-04 15:05:00,75,12370,5.336496980155307,494.8
2021-03-04 15:06:00,70,12419,5.357635893011217,496.76
2021-03-04 15:07:00,81,12432,5.363244176013805,497.28
2021-03-04 15:08:00,75,12472,5.380500431406385,498.88
2021-03-04 15:09:00,81,12493,5.389559965487489,499.72
