timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-06 07:00:00,85,0,0.0,0.0
2021-03-06 07:01:00,109,8,0.0033208800332088003,0.32
2021-03-06 07:02:00,72,20,0.008302200083022002,0.8
2021-03-06 07:03:00,81,36,0.014943960149439602,1.44
2021-03-06 07:04:00,62,46,0.019095060190950603,1.84
2021-03-06 07:05:00,76,46,0.019095060190950603,1.84
2021-03-06 07:06:00,69,62,0.025736820257368204,2.48
2021-03-06 07:07:00,87,78,0.0323785803237858,3.12
2021-03-06 07:08:00,96,83,0.034454130344541305,3.3200000000000003
2021-03-06 07:09:00,75,93,0.038605230386052306,3.72
2021-03-06 07:10:00,78,110,0.045662100456621,4.4
2021-03-06 07:11:00,66,117,0.048567870485678705,4.68
2021-03-06 07:12:00,71,141,0.058530510585305104,5.64
2021-03-06 07:13:00,94,148,0.061436280614362807,5.92
2021-03-06 07:14:00,83,172,0.0713989207139892,6.88
2021-03-06 07:15:00,82,196,0.0813615608136156,7.84
2021-03-06 07:16:00,87,213,0.0884184308841843,8.52
2021-03-06 07:17:00,87,237,0.09838107098381071,9.48
2021-03-06 07:18:00,80,253,0.1050228310502283,10.120000000000001
2021-03-06 07:19:00,69,264,0.1095890410958904,10.56
2021-03-06 07:20:00,71,270,0.11207970112079702,10.8
2021-03-06 07:21:00,63,288,0.11955168119551682,11.52
2021-03-06 07:22:00,75,310,0.12868410128684102,12.4
2021-03-06 07:23:00,76,331,0.13740141137401413,13.24
2021-03-06 07:24:00,72,352,0.1461187214611872,14.08
2021-03-06 07:25:00,98,372,0.15442092154420922,14.88
2021-03-06 07:26:00,68,394,0.16355334163553342,15.76
2021-03-06 07:27:00,78,398,0.16521378165213782,15.92
2021-03-06 07:28:00,73,421,0.1747613117476131,16.84
2021-03-06 07:29:00,70,445,0.18472395184723953,17.8
2021-03-06 07:30:00,97,451,0.1872146118721461,18.04
2021-03-06 07:31:00,78,468,0.19427148194271482,18.72
2021-03-06 07:32:00,90,479,0.19883769198837692,19.16
2021-03-06 07:33:00,73,484,0.2009132420091324,19.36
2021-03-06 07:34:00,71,489,0.20298879202988793,19.56
2021-03-06 07:35:00,86,493,0.20464923204649232,19.72
2021-03-06 07:36:00,78,518,0.21502698215026983,20.72
2021-03-06 07:37:00,61,539,0.2237442922374429,21.56
